cell_id,latitude,longitude,zone,land_surface_temperature_c,ndvi,impervious_fraction,water_distance_km
cell-051,41.033,29.006,urban,38.01,0.239,0.839,17.8
cell-052,41.036,29.006,urban,36.45,0.113,0.78,2.89
cell-053,41.039,29.006,urban,38.6,0.105,0.73,16.15
cell-054,41.042,29.006,urban,34.75,0.312,0.916,8.34
cell-055,41.045,29.006,urban,35.19,0.303,0.765,4.85
cell-056,41.048,29.006,urban,35.61,0.353,0.701,6.8
cell-057,41.051,29.006,urban,34.68,0.249,0.855,13.49
cell-058,41.054,29.006,urban,36.56,0.289,0.614,2.45
cell-059,41.057,29.006,urban,37.77,0.098,0.777,17.84
cell-060,41.0,29.009,urban,37.69,0.067,0.852,14.35
cell-061,41.003,29.009,urban,39.57,0.17,0.821,11.5
cell-062,41.006,29.009,urban,36.67,0.085,0.774,6.23
cell-063,41.009,29.009,urban,35.51,0.45,0.753,1.14
cell-064,41.012,29.009,urban,36.43,0.393,0.648,4.22
cell-065,41.015,29.009,urban,35.59,0.3,0.888,3.17
cell-066,41.018,29.009,urban,37.54,0.215,0.729,15.11
cell-067,41.021,29.009,urban,36.4,0.211,0.782,5.36
cell-068,41.024,29.009,urban,35.67,0.278,0.682,2.16
cell-069,41.027,29.009,urban,36.6,0.164,0.691,18.69
cell-070,41.03,29.009,urban,36.46,0.36,0.825,6.05
cell-071,41.033,29.009,urban,37.96,0.266,0.772,15.54
cell-072,41.036,29.009,urban,36.09,0.097,0.832,6.44
cell-073,41.039,29.009,urban,37.41,0.132,0.901,2.04
cell-074,41.042,29.009,urban,36.74,0.409,0.755,14.96
cell-075,41.045,29.009,urban,38.98,0.114,0.784,5.19
cell-076,41.048,29.009,urban,35.22,0.239,0.705,8.58
cell-077,41.051,29.009,urban,35.77,0.306,0.704,13.17
cell-078,41.054,29.009,urban,37.42,0.169,0.752,11.01
cell-079,41.057,29.009,urban,35.93,0.399,0.73,6.73
cell-080,41.0,29.012,urban,36.15,0.251,0.768,2.17
cell-081,41.003,29.012,urban,36.29,0.453,0.862,6.22
cell-082,41.006,29.012,urban,37.63,0.299,0.826,2.96
cell-083,41.009,29.012,urban,37.08,0.282,0.841,5.36
cell-084,41.012,29.012,urban,37.03,0.273,0.903,19.14
cell-085,41.015,29.012,urban,38.74,0.155,0.957,11.65
cell-086,41.018,29.012,urban,36.7,0.207,0.58,18.37
cell-087,41.021,29.012,urban,37.22,0.05,0.601,3.79
cell-088,41.024,29.012,urban,35.34,0.277,0.773,15.35
cell-089,41.027,29.012,urban,36.53,0.326,0.816,6.52
cell-090,41.03,29.012,urban,34.22,0.189,0.861,18.32
cell-091,41.033,29.012,urban,34.67,0.156,0.548,1.11
cell-092,41.036,29.012,urban,37.19,0.267,0.741,14.24
cell-093,41.039,29.012,urban,35.88,0.413,0.61,5.57
cell-094,41.042,29.012,urban,37.72,0.23,0.658,5.69
cell-095,41.045,29.012,urban,36.65,0.111,0.721,4.1
cell-096,41.048,29.012,urban,38.7,0.147,0.758,16.66
cell-097,41.051,29.012,urban,35.36,0.429,0.485,6.74
cell-098,41.054,29.012,urban,36.33,0.179,0.706,9.95
cell-099,41.057,29.012,urban,38.13,0.123,0.685,6.64
cell-100,41.0,29.015,urban,36.27,0.199,0.673,15.68
cell-101,41.003,29.015,urban,37.45,0.299,0.735,3.9
cell-102,41.006,29.015,urban,34.99,0.378,0.7,6.91
cell-103,41.009,29.015,urban,37.15,0.082,0.967,6.83
cell-104,41.012,29.015,urban,36.67,0.308,0.661,1.71
cell-105,41.015,29.015,urban,37.79,0.05,0.641,1.17
cell-106,41.018,29.015,urban,38.7,0.324,0.798,3.62
cell-107,41.021,29.015,urban,35.21,0.399,0.728,13.99
cell-108,41.024,29.015,urban,36.71,0.265,0.733,15.88
cell-109,41.027,29.015,urban,35.71,0.317,0.614,3.64
cell-110,41.03,29.015,urban,36.6,0.273,0.625,10.7
cell-111,41.033,29.015,urban,38.17,0.094,0.646,7.2
cell-112,41.036,29.015,urban,38.37,0.331,0.675,3.83
cell-113,41.039,29.015,urban,36.26,0.17,0.88,5.09
cell-114,41.042,29.015,urban,34.01,0.425,0.609,7.76
cell-115,41.045,29.015,urban,36.14,0.05,0.645,10.12
cell-116,41.048,29.015,urban,34.41,0.372,0.77,10.11
cell-117,41.051,29.015,urban,36.06,0.407,0.723,9.33
cell-118,41.054,29.015,urban,35.83,0.329,0.571,7.17
cell-119,41.057,29.015,urban,37.47,0.276,0.834,3.6
cell-120,41.0,29.018,urban,37.24,0.304,0.884,5.9
cell-121,41.003,29.018,urban,36.3,0.299,0.743,18.46
cell-122,41.006,29.018,urban,36.18,0.363,0.851,10.35
cell-123,41.009,29.018,urban,38.83,0.168,0.595,4.85
cell-124,41.012,29.018,urban,36.84,0.125,0.622,2.34
cell-125,41.015,29.018,urban,35.55,0.243,0.711,17.81
cell-126,41.018,29.018,urban,35.2,0.244,0.82,14.57
cell-127,41.021,29.018,urban,35.01,0.167,0.741,9.17
cell-128,41.024,29.018,urban,38.61,0.411,0.934,1.42
cell-129,41.027,29.018,urban,36.81,0.05,0.751,4.47
cell-130,41.03,29.018,urban,34.35,0.36,0.854,19.64
cell-131,41.033,29.018,urban,35.47,0.434,0.731,16.69
cell-132,41.036,29.018,urban,38.3,0.05,0.617,10.55
cell-133,41.039,29.018,urban,38.52,0.157,0.637,16.69
cell-134,41.042,29.018,urban,38.84,0.192,0.724,5.42
cell-135,41.045,29.018,urban,38.7,0.05,0.814,11.95
cell-136,41.048,29.018,urban,37.95,0.05,0.743,0.25
cell-137,41.051,29.018,urban,36.21,0.215,0.679,14.47
cell-138,41.054,29.018,urban,35.86,0.298,0.909,11.47
cell-139,41.057,29.018,urban,33.13,0.423,0.82,0.8
cell-140,41.0,29.021,urban,37.22,0.309,0.489,12.36
cell-141,41.003,29.021,urban,40.01,0.265,0.824,5.65
cell-142,41.006,29.021,urban,37.0,0.273,0.649,2.25
cell-143,41.009,29.021,urban,37.89,0.349,0.65,11.99
cell-144,41.012,29.021,urban,36.67,0.272,0.665,14.55
cell-145,41.015,29.021,urban,38.89,0.138,0.677,14.84
cell-146,41.018,29.021,urban,37.69,0.138,0.797,12.53
cell-147,41.021,29.021,urban,34.03,0.267,0.796,16.55
cell-148,41.024,29.021,urban,38.04,0.367,0.706,11.36
cell-149,41.027,29.021,urban,40.25,0.215,0.911,6.43
cell-150,41.03,29.021,urban,36.62,0.183,0.602,2.65
cell-151,41.033,29.021,urban,39.39,0.092,0.653,17.48
cell-152,41.036,29.021,urban,36.25,0.263,0.567,14.95
cell-153,41.039,29.021,urban,36.56,0.24,0.562,4.52
cell-154,41.042,29.021,urban,36.12,0.212,0.794,17.5
cell-155,41.045,29.021,urban,35.49,0.311,0.753,1.06
cell-156,41.048,29.021,urban,33.92,0.358,0.691,19.59
cell-157,41.051,29.021,urban,36.84,0.512,0.744,16.94
cell-158,41.054,29.021,urban,39.24,0.125,0.763,4.13
cell-159,41.057,29.021,urban,38.79,0.154,0.764,7.39
cell-160,41.0,29.024,peripheral,29.67,0.685,0.123,8.85
cell-161,41.003,29.024,peripheral,32.06,0.56,0.231,16.07
cell-162,41.006,29.024,peripheral,34.07,0.523,0.332,0.43
cell-163,41.009,29.024,peripheral,30.76,0.587,0.22,0.93
cell-164,41.012,29.024,peripheral,31.62,0.677,0.087,5.47
cell-165,41.015,29.024,peripheral,27.82,0.824,0.308,3.14
cell-166,41.018,29.024,peripheral,31.02,0.605,0.146,5.88
cell-167,41.021,29.024,peripheral,30.55,0.462,0.302,7.63
cell-168,41.024,29.024,peripheral,32.07,0.481,0.217,15.99
cell-169,41.027,29.024,peripheral,32.78,0.523,0.155,5.52
cell-170,41.03,29.024,peripheral,32.35,0.627,0.014,6.41
cell-171,41.033,29.024,peripheral,31.36,0.562,0.17,9.05
cell-172,41.036,29.024,peripheral,28.1,0.665,0.197,0.78
cell-173,41.039,29.024,peripheral,30.86,0.566,0.249,19.25
cell-174,41.042,29.024,peripheral,30.71,0.704,0.158,12.45
cell-175,41.045,29.024,peripheral,30.29,0.686,0.362,0.95
cell-176,41.048,29.024,peripheral,31.79,0.484,0.194,11.12
cell-177,41.051,29.024,peripheral,30.93,0.9,0.132,5.08
cell-178,41.054,29.024,peripheral,32.84,0.721,0.219,11.09
cell-179,41.057,29.024,peripheral,32.24,0.627,0.365,8.12
cell-180,41.0,29.027,peripheral,31.9,0.567,0.228,18.87
cell-181,41.003,29.027,peripheral,30.52,0.484,0.2,8.21
cell-182,41.006,29.027,peripheral,32.41,0.65,0.305,2.9
cell-183,41.009,29.027,peripheral,30.9,0.677,0.163,11.82
cell-184,41.012,29.027,peripheral,28.57,0.86,0.138,13.95
cell-185,41.015,29.027,peripheral,28.9,0.666,0.231,14.22
cell-186,41.018,29.027,peripheral,31.06,0.608,0.186,4.88
cell-187,41.021,29.027,peripheral,31.2,0.597,0.295,11.05
cell-188,41.024,29.027,peripheral,30.52,0.707,0.121,14.91
cell-189,41.027,29.027,peripheral,29.68,0.582,0.143,2.53
cell-190,41.03,29.027,peripheral,31.35,0.574,0.252,16.82
cell-191,41.033,29.027,peripheral,29.61,0.594,0.171,9.42
cell-192,41.036,29.027,peripheral,33.16,0.53,0.082,16.28
cell-193,41.039,29.027,peripheral,30.14,0.663,0.087,14.12
cell-194,41.042,29.027,peripheral,30.76,0.522,0.123,19.89
cell-195,41.045,29.027,peripheral,33.09,0.516,0.315,5.37
cell-196,41.048,29.027,peripheral,29.57,0.729,0.223,6.17
cell-197,41.051,29.027,peripheral,34.54,0.519,0.115,4.09
cell-198,41.054,29.027,peripheral,30.5,0.685,0.259,16.87
cell-199,41.057,29.027,peripheral,32.71,0.711,0.029,18.26
cell-200,41.0,29.03,peripheral,31.24,0.706,0.337,8.21
cell-201,41.003,29.03,peripheral,30.25,0.809,0.16,3.18
cell-202,41.006,29.03,peripheral,30.78,0.719,0.263,13.76
cell-203,41.009,29.03,peripheral,30.36,0.696,0.058,9.1
cell-204,41.012,29.03,peripheral,30.28,0.69,0.348,13.16
cell-205,41.015,29.03,peripheral,30.04,0.476,0.197,18.12
cell-206,41.018,29.03,peripheral,32.08,0.577,0,2.52
cell-207,41.021,29.03,peripheral,31.44,0.513,0.248,12.56
cell-208,41.024,29.03,peripheral,29.24,0.531,0.396,7.51
cell-209,41.027,29.03,peripheral,31.2,0.77,0.156,0.37
cell-210,41.03,29.03,peripheral,32.39,0.551,0.237,8.7
cell-211,41.033,29.03,peripheral,31.26,0.79,0.138,1.03
cell-212,41.036,29.03,peripheral,32.05,0.486,0.334,7.7
cell-213,41.039,29.03,peripheral,28.7,0.53,0.393,3.76
cell-214,41.042,29.03,peripheral,29.6,0.842,0.284,10.06
cell-215,41.045,29.03,peripheral,30.78,0.727,0.243,11.3
cell-216,41.048,29.03,peripheral,31.1,0.673,0.173,19.12
cell-217,41.051,29.03,peripheral,30.77,0.527,0.066,12.1
cell-218,41.054,29.03,peripheral,31.29,0.61,0.213,5.02
cell-219,41.057,29.03,peripheral,29.56,0.727,0.236,18.3
cell-220,41.0,29.033,peripheral,31.35,0.513,0.143,17.88
cell-221,41.003,29.033,peripheral,29.69,0.722,0.158,9.16
cell-222,41.006,29.033,peripheral,28.35,0.63,0.267,19.85
cell-223,41.009,29.033,peripheral,31.22,0.576,0.135,15.79
cell-224,41.012,29.033,peripheral,32.37,0.693,0.243,19.9
cell-225,41.015,29.033,peripheral,29.38,0.77,0.075,7.5
cell-226,41.018,29.033,peripheral,30.24,0.581,0.309,12.74
cell-227,41.021,29.033,peripheral,31.01,0.602,0.194,10.6
cell-228,41.024,29.033,peripheral,33.21,0.577,0.129,4.3
cell-229,41.027,29.033,peripheral,29.1,0.785,0.116,3.94
cell-230,41.03,29.033,peripheral,30.86,0.386,0.242,17.13
cell-231,41.033,29.033,peripheral,32.87,0.423,0.149,14.38
cell-232,41.036,29.033,peripheral,30.48,0.698,0,17.98
cell-233,41.039,29.033,peripheral,31.62,0.605,0.163,0.54
cell-234,41.042,29.033,peripheral,31.33,0.631,0.231,11.64
cell-235,41.045,29.033,peripheral,29.91,0.9,0.236,15.81
cell-236,41.048,29.033,peripheral,30.55,0.518,0.252,9.4
cell-237,41.051,29.033,peripheral,33.38,0.393,0.298,15.68
cell-238,41.054,29.033,peripheral,27.96,0.712,0.296,16.49
cell-239,41.057,29.033,peripheral,32.76,0.475,0.319,18.34
